ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,UF,24,0.733,0.733,0.7,0.766
2015,MUNICIPIO,2400109,0.679,0.679,NA,NA
2015,MUNICIPIO,2400208,0.661,0.661,NA,NA
2015,MUNICIPIO,2400307,0.585,0.585,NA,NA
2015,MUNICIPIO,2400406,0.616,0.616,NA,NA
2015,MUNICIPIO,2400505,0.606,0.606,NA,NA
2015,MUNICIPIO,2400604,0.624,0.624,NA,NA
2015,MUNICIPIO,2400703,0.672,0.672,NA,NA
2015,MUNICIPIO,2400802,0.624,0.624,NA,NA
2015,MUNICIPIO,2400901,0.578,0.578,NA,NA
2015,MUNICIPIO,2401008,0.639,0.639,NA,NA
2015,MUNICIPIO,2401107,0.682,0.682,NA,NA
2015,MUNICIPIO,2401206,0.606,0.606,NA,NA
2015,MUNICIPIO,2401305,0.621,0.621,NA,NA
2015,MUNICIPIO,2401404,0.609,0.609,NA,NA
2015,MUNICIPIO,2401453,0.574,0.574,NA,NA
2015,MUNICIPIO,2401503,0.566,0.566,NA,NA
2015,MUNICIPIO,2401602,0.582,0.582,NA,NA
2015,MUNICIPIO,2401651,0.629,0.629,NA,NA
2015,MUNICIPIO,2401701,0.584,0.584,NA,NA
2015,MUNICIPIO,2401800,0.592,0.592,NA,NA
2015,MUNICIPIO,2401859,0.574,0.574,NA,NA
2015,MUNICIPIO,2401909,0.587,0.587,NA,NA
2015,MUNICIPIO,2402006,0.71,0.71,NA,NA
2015,MUNICIPIO,2402105,0.626,0.626,NA,NA
2015,MUNICIPIO,2402204,0.579,0.579,NA,NA
2015,MUNICIPIO,2402303,0.638,0.638,NA,NA
2015,MUNICIPIO,2402402,0.659,0.659,NA,NA
2015,MUNICIPIO,2402501,0.589,0.589,NA,NA
2015,MUNICIPIO,2402600,0.616,0.616,NA,NA
2015,MUNICIPIO,2402709,0.607,0.607,NA,NA
2015,MUNICIPIO,2402808,0.587,0.587,NA,NA
2015,MUNICIPIO,2402907,0.578,0.578,NA,NA
2015,MUNICIPIO,2403004,0.654,0.654,NA,NA
2015,MUNICIPIO,2403103,0.691,0.691,NA,NA
2015,MUNICIPIO,2403202,0.621,0.621,NA,NA
2015,MUNICIPIO,2403301,0.629,0.629,NA,NA
2015,MUNICIPIO,2403400,0.623,0.623,NA,NA
2015,MUNICIPIO,2403509,0.558,0.558,NA,NA
2015,MUNICIPIO,2403608,0.66,0.66,NA,NA
2015,MUNICIPIO,2403707,0.636,0.636,NA,NA
2015,MUNICIPIO,2403756,0.597,0.597,NA,NA
2015,MUNICIPIO,2403806,0.642,0.642,NA,NA
2015,MUNICIPIO,2403905,0.606,0.606,NA,NA
2015,MUNICIPIO,2404002,0.597,0.597,NA,NA
2015,MUNICIPIO,2404101,0.564,0.564,NA,NA
2015,MUNICIPIO,2404200,0.638,0.638,NA,NA
2015,MUNICIPIO,2404309,0.592,0.592,NA,NA
2015,MUNICIPIO,2404408,0.664,0.664,NA,NA
2015,MUNICIPIO,2404507,0.626,0.626,NA,NA
2015,MUNICIPIO,2404606,0.55,0.55,NA,NA
2015,MUNICIPIO,2404705,0.603,0.603,NA,NA
2015,MUNICIPIO,2404804,0.679,0.679,NA,NA
2015,MUNICIPIO,2404853,0.624,0.624,NA,NA
2015,MUNICIPIO,2404903,0.614,0.614,NA,NA
2015,MUNICIPIO,2405009,0.604,0.604,NA,NA
2015,MUNICIPIO,2405108,0.569,0.569,NA,NA
2015,MUNICIPIO,2405207,0.615,0.615,NA,NA
2015,MUNICIPIO,2405306,0.574,0.574,NA,NA
2015,MUNICIPIO,2405405,0.569,0.569,NA,NA
2015,MUNICIPIO,2405504,0.565,0.565,NA,NA
2015,MUNICIPIO,2405603,0.603,0.603,NA,NA
2015,MUNICIPIO,2405702,0.663,0.663,NA,NA
2015,MUNICIPIO,2405801,0.595,0.595,NA,NA
2015,MUNICIPIO,2405900,0.53,0.53,NA,NA
2015,MUNICIPIO,2406007,0.608,0.608,NA,NA
2015,MUNICIPIO,2406106,0.601,0.601,NA,NA
2015,MUNICIPIO,2406155,0.595,0.595,NA,NA
2015,MUNICIPIO,2406205,0.601,0.601,NA,NA
2015,MUNICIPIO,2406304,0.553,0.553,NA,NA
2015,MUNICIPIO,2406403,0.589,0.589,NA,NA
2015,MUNICIPIO,2406502,0.585,0.585,NA,NA
2015,MUNICIPIO,2406601,0.582,0.582,NA,NA
2015,MUNICIPIO,2406700,0.624,0.624,NA,NA
2015,MUNICIPIO,2406809,0.625,0.625,NA,NA
2015,MUNICIPIO,2406908,0.646,0.646,NA,NA
2015,MUNICIPIO,2407005,0.608,0.608,NA,NA
2015,MUNICIPIO,2407104,0.64,0.64,NA,NA
2015,MUNICIPIO,2407203,0.665,0.665,NA,NA
2015,MUNICIPIO,2407252,0.617,0.617,NA,NA
2015,MUNICIPIO,2407302,0.609,0.609,NA,NA
2015,MUNICIPIO,2407401,0.622,0.622,NA,NA
2015,MUNICIPIO,2407500,0.608,0.608,NA,NA
2015,MUNICIPIO,2407609,0.644,0.644,NA,NA
2015,MUNICIPIO,2407708,0.557,0.557,NA,NA
2015,MUNICIPIO,2407807,0.609,0.609,NA,NA
2015,MUNICIPIO,2407906,0.598,0.598,NA,NA
2015,MUNICIPIO,2408003,0.72,0.72,NA,NA
2015,MUNICIPIO,2408102,0.763,0.763,NA,NA
2015,MUNICIPIO,2408201,0.622,0.622,NA,NA
2015,MUNICIPIO,2408300,0.629,0.629,NA,NA
2015,MUNICIPIO,2408409,0.585,0.585,NA,NA
2015,MUNICIPIO,2408508,0.645,0.645,NA,NA
2015,MUNICIPIO,2408607,0.589,0.589,NA,NA
2015,MUNICIPIO,2408706,0.603,0.603,NA,NA
2015,MUNICIPIO,2408805,0.549,0.549,NA,NA
2015,MUNICIPIO,2408904,0.676,0.676,NA,NA
2015,MUNICIPIO,2403251,0.766,0.766,NA,NA
2015,MUNICIPIO,2409100,0.606,0.606,NA,NA
2015,MUNICIPIO,2409209,0.589,0.589,NA,NA
2015,MUNICIPIO,2409308,0.618,0.618,NA,NA
2015,MUNICIPIO,2409407,0.678,0.678,NA,NA
2015,MUNICIPIO,2409506,0.559,0.559,NA,NA
2015,MUNICIPIO,2409605,0.558,0.558,NA,NA
2015,MUNICIPIO,2409704,0.583,0.583,NA,NA
2015,MUNICIPIO,2409803,0.568,0.568,NA,NA
2015,MUNICIPIO,2409902,0.631,0.631,NA,NA
2015,MUNICIPIO,2410009,0.614,0.614,NA,NA
2015,MUNICIPIO,2410108,0.587,0.587,NA,NA
2015,MUNICIPIO,2410207,0.621,0.621,NA,NA
2015,MUNICIPIO,2410256,0.59,0.59,NA,NA
2015,MUNICIPIO,2410306,0.563,0.563,NA,NA
2015,MUNICIPIO,2410405,0.567,0.567,NA,NA
2015,MUNICIPIO,2410504,0.608,0.608,NA,NA
2015,MUNICIPIO,2410603,0.654,0.654,NA,NA
2015,MUNICIPIO,2410702,0.584,0.584,NA,NA
2015,MUNICIPIO,2410801,0.591,0.591,NA,NA
2015,MUNICIPIO,2410900,0.592,0.592,NA,NA
2015,MUNICIPIO,2408953,0.569,0.569,NA,NA
2015,MUNICIPIO,2411007,0.604,0.604,NA,NA
2015,MUNICIPIO,2411106,0.605,0.605,NA,NA
2015,MUNICIPIO,2411205,0.635,0.635,NA,NA
2015,MUNICIPIO,2409332,0.59,0.59,NA,NA
2015,MUNICIPIO,2411403,0.591,0.591,NA,NA
2015,MUNICIPIO,2411429,0.642,0.642,NA,NA
2015,MUNICIPIO,2411502,0.62,0.62,NA,NA
2015,MUNICIPIO,2411601,0.555,0.555,NA,NA
2015,MUNICIPIO,2411700,0.595,0.595,NA,NA
2015,MUNICIPIO,2411809,0.608,0.608,NA,NA
2015,MUNICIPIO,2411908,0.628,0.628,NA,NA
2015,MUNICIPIO,2412005,0.661,0.661,NA,NA
2015,MUNICIPIO,2412104,0.655,0.655,NA,NA
2015,MUNICIPIO,2412203,0.611,0.611,NA,NA
2015,MUNICIPIO,2412302,0.615,0.615,NA,NA
2015,MUNICIPIO,2412401,0.694,0.694,NA,NA
2015,MUNICIPIO,2412500,0.606,0.606,NA,NA
2015,MUNICIPIO,2412559,0.591,0.591,NA,NA
2015,MUNICIPIO,2412609,0.622,0.622,NA,NA
2015,MUNICIPIO,2412708,0.589,0.589,NA,NA
2015,MUNICIPIO,2412807,0.611,0.611,NA,NA
2015,MUNICIPIO,2412906,0.585,0.585,NA,NA
2015,MUNICIPIO,2413003,0.642,0.642,NA,NA
2015,MUNICIPIO,2413102,0.583,0.583,NA,NA
2015,MUNICIPIO,2413201,0.57,0.57,NA,NA
2015,MUNICIPIO,2413300,0.582,0.582,NA,NA
2015,MUNICIPIO,2413359,0.614,0.614,NA,NA
2015,MUNICIPIO,2413409,0.597,0.597,NA,NA
2015,MUNICIPIO,2413508,0.592,0.592,NA,NA
2015,MUNICIPIO,2413557,0.598,0.598,NA,NA
2015,MUNICIPIO,2413607,0.604,0.604,NA,NA
2015,MUNICIPIO,2413706,0.572,0.572,NA,NA
2015,MUNICIPIO,2413805,0.612,0.612,NA,NA
2015,MUNICIPIO,2413904,0.569,0.569,NA,NA
2015,MUNICIPIO,2414001,0.608,0.608,NA,NA
2015,MUNICIPIO,2414100,0.592,0.592,NA,NA
2015,MUNICIPIO,2414159,0.623,0.623,NA,NA
2015,MUNICIPIO,2411056,0.635,0.635,NA,NA
2015,MUNICIPIO,2414209,0.645,0.645,NA,NA
2015,MUNICIPIO,2414308,0.64,0.64,NA,NA
2015,MUNICIPIO,2414407,0.572,0.572,NA,NA
2015,MUNICIPIO,2414456,0.602,0.602,NA,NA
2015,MUNICIPIO,2414506,0.618,0.618,NA,NA
2015,MUNICIPIO,2414605,0.596,0.596,NA,NA
2015,MUNICIPIO,2414704,0.626,0.626,NA,NA
2015,MUNICIPIO,2414753,0.555,0.555,NA,NA
2015,MUNICIPIO,2414803,0.587,0.587,NA,NA
2015,MUNICIPIO,2414902,0.592,0.592,NA,NA
2015,MUNICIPIO,2415008,0.576,0.576,NA,NA
